Time,N-S Acceleration (𝑚∕𝑠^2 )(392 m),E-W Acceleration (𝑚∕𝑠^2 ) (392 m),Z Acceleration (𝑚∕𝑠^2 ) (392 m),N-S Acceleration (𝑚∕𝑠^2 ) (494 m),E-W Acceleration (𝑚∕𝑠^2 ) (494 m),Z Acceleration (𝑚∕𝑠^2 ) (494 m),,
07:58:00.985,0.016883534,-0.006299439,-0.005656727,0.022519802,-0.022295357,-0.037384069,,
07:58:00.990,0.016901124,-0.006310691,-0.005666782,0.022554461,-0.022319101,-0.037426208,,
07:58:00.995,0.016921235,-0.006320904,-0.005673405,0.022581225,-0.022342703,-0.0374658,,
07:58:01.000,0.016939379,-0.006330788,-0.00568143,0.022606944,-0.022366663,-0.037505986,,
07:58:01.005,0.016956648,-0.006342773,-0.005692489,0.022642507,-0.022391878,-0.037548362,,
07:58:01.010,0.01697573,-0.006353887,-0.005699904,0.022671773,-0.022414755,-0.037589041,,
07:58:01.015,0.016994422,-0.006363401,-0.005706532,0.022695169,-0.022438692,-0.037628508,,
07:58:01.020,0.017014008,-0.006373744,-0.005717551,0.022727335,-0.022463566,-0.037669654,,
07:58:01.025,0.017032587,-0.006385406,-0.005727083,0.022760588,-0.022486818,-0.037711205,,
07:58:01.030,0.017049731,-0.00639606,-0.005733121,0.02278588,-0.022509422,-0.03775037,,
07:58:01.035,0.017068372,-0.006406261,-0.005742838,0.022813877,-0.02253233,-0.037790438,,
07:58:01.040,0.017088259,-0.006416827,-0.005753432,0.022846075,-0.022557371,-0.03783288,,
07:58:01.045,0.017105018,-0.006427875,-0.005759828,0.022874703,-0.022581965,-0.037873592,,
07:58:01.050,0.017122361,-0.00643921,-0.005767351,0.022901588,-0.022605503,-0.037913179,,
07:58:01.055,0.017142847,-0.006450679,-0.005778138,0.022933315,-0.022630366,-0.037954467,,
07:58:01.060,0.017161596,-0.00646139,-0.005785284,0.022963629,-0.022655297,-0.037995698,,
07:58:01.065,0.017178032,-0.00647173,-0.005791622,0.022990019,-0.022678541,-0.038035145,,
07:58:01.070,0.017197245,-0.00648221,-0.005801847,0.023021844,-0.022703181,-0.038075396,,
07:58:01.075,0.017216933,-0.006493237,-0.00581089,0.023052879,-0.022727415,-0.038117122,,
07:58:01.080,0.017234021,-0.006504225,-0.005816827,0.023078733,-0.022750253,-0.038157934,,
07:58:01.085,0.017251754,-0.00651517,-0.005826317,0.023107623,-0.022774733,-0.038198103,,
07:58:01.090,0.017272621,-0.006525668,-0.005837538,0.023139763,-0.022799305,-0.038239245,,
07:58:01.095,0.017289227,-0.006536736,-0.00584426,0.023168123,-0.02282265,-0.038280302,,
07:58:01.100,0.017305345,-0.006547484,-0.005851956,0.023194257,-0.022845134,-0.038319693,,
07:58:01.105,0.017326186,-0.006557805,-0.005863175,0.023226659,-0.022868965,-0.038359613,,
07:58:01.110,0.017344951,-0.006568456,-0.005871265,0.023257153,-0.022893063,-0.038400233,,
07:58:01.115,0.017360399,-0.006579592,-0.00587731,0.023283052,-0.022916718,-0.038440225,,
07:58:01.120,0.017379713,-0.006590841,-0.00588812,0.023313493,-0.022940637,-0.038480465,,
07:58:01.125,0.017401288,-0.006601617,-0.005897761,0.023345126,-0.022964829,-0.038520919,,
07:58:01.130,0.017418606,-0.006611019,-0.005903545,0.023371214,-0.022988919,-0.038560764,,
07:58:01.135,0.017434758,-0.006622187,-0.005912738,0.023401069,-0.023012451,-0.038601282,,
07:58:01.140,0.01745484,-0.006634319,-0.005923423,0.023433186,-0.023037384,-0.038641635,,
07:58:01.145,0.017474419,-0.006643261,-0.005929863,0.023457947,-0.023061365,-0.038680842,,
07:58:01.150,0.017490874,-0.006653622,-0.00593711,0.02348491,-0.02308559,-0.038720212,,
07:58:01.155,0.017507917,-0.006667209,-0.005948471,0.023519903,-0.0231102,-0.038761536,,
07:58:01.160,0.017527806,-0.006678682,-0.005956049,0.023547924,-0.023133236,-0.03880092,,
07:58:01.165,0.017546266,-0.006688042,-0.005961935,0.023571774,-0.023157808,-0.038839845,,
07:58:01.170,0.01756221,-0.006699166,-0.005972434,0.023604268,-0.023182112,-0.038880776,,
07:58:01.175,0.017578825,-0.006712144,-0.005982098,0.023637034,-0.023204853,-0.038921855,,
07:58:01.180,0.017597735,-0.006721954,-0.005987549,0.023658097,-0.023226579,-0.038960151,,
07:58:01.185,0.017617494,-0.006730754,-0.005997517,0.02368557,-0.023251683,-0.038999881,,
07:58:01.190,0.01763463,-0.006742367,-0.006008611,0.023723985,-0.023276356,-0.039042758,,
07:58:01.195,0.017649666,-0.006754463,-0.006014567,0.023750144,-0.023297217,-0.039082397,,
07:58:01.200,0.017670748,-0.006763341,-0.006022452,0.023771145,-0.023320896,-0.039118759,,
07:58:01.205,0.01769101,-0.006772835,-0.006034614,0.023806305,-0.02334747,-0.039159717,,
07:58:01.210,0.017706315,-0.006785293,-0.006041846,0.023839864,-0.023371622,-0.039201611,,
07:58:01.215,0.017723589,-0.006796277,-0.006047682,0.023862532,-0.023393794,-0.039238899,,
07:58:01.220,0.017743824,-0.006806664,-0.006059921,0.023890182,-0.023417806,-0.039277196,,
07:58:01.225,0.017763053,-0.006817517,-0.00607001,0.023923095,-0.023443108,-0.03931914,,
07:58:01.230,0.017777684,-0.006828746,-0.006074727,0.023949574,-0.02346451,-0.039358478,,
07:58:01.235,0.017794765,-0.00683984,-0.00608361,0.023976502,-0.023486576,-0.039395351,,
07:58:01.240,0.01781592,-0.006849862,-0.00609526,0.024007634,-0.023511587,-0.039434628,,
07:58:01.245,0.017833326,-0.00686025,-0.006100477,0.024033728,-0.023536087,-0.039474123,,
07:58:01.250,0.0178486,-0.006870685,-0.006106215,0.024060649,-0.023559515,-0.039512945,,
07:58:01.255,0.017867238,-0.0068826,-0.006117949,0.024093654,-0.023584105,-0.039552879,,
07:58:01.260,0.017887641,-0.006893772,-0.006125328,0.024121403,-0.023608368,-0.039591844,,
07:58:01.265,0.017902849,-0.006903647,-0.006130193,0.024145847,-0.023632844,-0.039630255,,
