Datetime,GwP_170 m (MPa),GwP_360 m  (MPa),GwP_424 m  (MPa),GwP_464 m  (MPa)
7:30:34 AM,1.653219,3.53589,4.163119,4.495046
7:30:34 AM,1.65322,3.535859,4.163142,4.495063
7:30:34 AM,1.653244,3.535885,4.163071,4.495065
7:30:34 AM,1.65322,3.535859,4.163118,4.495083
7:30:34 AM,1.65322,3.53589,4.163118,4.495063
7:30:34 AM,1.653244,3.535885,4.163095,4.495046
7:30:34 AM,1.653219,3.535885,4.163142,4.495065
7:30:34 AM,1.653245,3.535859,4.163118,4.495063
7:30:34 AM,1.653244,3.53589,4.163118,4.495063
7:30:34 AM,1.653244,3.535916,4.163095,4.495065
7:30:34 AM,1.653244,3.53589,4.163095,4.495065
7:30:34 AM,1.65322,3.53589,4.163093,4.495083
7:30:34 AM,1.65322,3.535859,4.163118,4.495065
7:30:34 AM,1.65322,3.53589,4.163118,4.495046
7:30:34 AM,1.653244,3.535859,4.163095,4.495083
7:30:34 AM,1.653245,3.53589,4.163095,4.495046
7:30:34 AM,1.653194,3.535885,4.163095,4.495063
7:30:34 AM,1.653244,3.535859,4.163093,4.495083
7:30:34 AM,1.65322,3.535859,4.163095,4.495083
7:30:34 AM,1.653245,3.535859,4.163118,4.495063
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653244,3.535859,4.163095,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535829,4.163073,4.495065
7:30:35 AM,1.653194,3.535829,4.163073,4.495065
7:30:35 AM,1.653194,3.535829,4.163073,4.495065
7:30:35 AM,1.653194,3.535829,4.163095,4.495065
7:30:35 AM,1.653194,3.535829,4.163095,4.495065
7:30:35 AM,1.653194,3.535829,4.163095,4.495065
7:30:35 AM,1.653194,3.535829,4.163095,4.495065
7:30:35 AM,1.653194,3.535829,4.163095,4.495065
7:30:35 AM,1.653194,3.535829,4.163073,4.495065
7:30:35 AM,1.653194,3.535829,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535829,4.163073,4.495085
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495067
7:30:35 AM,1.653194,3.535859,4.163073,4.495048
7:30:35 AM,1.65322,3.535859,4.163118,4.495083
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535829,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495085
7:30:35 AM,1.653194,3.535859,4.163073,4.495085
7:30:35 AM,1.653194,3.535829,4.163073,4.495085
7:30:35 AM,1.653194,3.535829,4.163073,4.495085
7:30:35 AM,1.653194,3.535829,4.163073,4.495085
7:30:35 AM,1.653194,3.535829,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495048
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495083
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653244,3.53589,4.163118,4.495065
7:30:35 AM,1.653244,3.53589,4.163118,4.495046
7:30:35 AM,1.653244,3.53589,4.163118,4.495046
7:30:35 AM,1.653244,3.53589,4.163118,4.495046
7:30:35 AM,1.653244,3.53589,4.163118,4.495046
7:30:35 AM,1.653219,3.53589,4.163118,4.495063
7:30:35 AM,1.653244,3.53589,4.163095,4.495063
7:30:35 AM,1.653244,3.535859,4.163095,4.495046
7:30:35 AM,1.653244,3.53589,4.163093,4.495083
7:30:35 AM,1.65322,3.53589,4.163095,4.495063
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653244,3.53589,4.163095,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653219,3.535859,4.163073,4.495065
7:30:35 AM,1.653219,3.535859,4.163073,4.495065
7:30:35 AM,1.653219,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653219,3.535859,4.163073,4.495065
7:30:35 AM,1.653219,3.535859,4.163073,4.495065
7:30:35 AM,1.653219,3.535859,4.163073,4.495065
7:30:35 AM,1.653219,3.535859,4.163073,4.495065
7:30:35 AM,1.653194,3.535859,4.163073,4.495065
7:30:35 AM,1.653219,3.53589,4.163073,4.495065
7:30:35 AM,1.653219,3.535859,4.163073,4.495065
7:30:35 AM,1.653219,3.53589,4.163095,4.495065
7:30:35 AM,1.653219,3.53589,4.163095,4.495065
7:30:35 AM,1.653219,3.53589,4.163095,4.495065
7:30:35 AM,1.653219,3.53589,4.163095,4.495065
7:30:35 AM,1.653219,3.53589,4.163073,4.495065
7:30:35 AM,1.653219,3.53589,4.163073,4.495065
7:30:35 AM,1.653219,3.53589,4.163073,4.495065
7:30:35 AM,1.653219,3.53589,4.163073,4.495065
7:30:35 AM,1.653219,3.53589,4.163095,4.495065
7:30:35 AM,1.653194,3.53589,4.163075,4.495063
7:30:35 AM,1.653194,3.535916,4.163075,4.49508
7:30:35 AM,1.653194,3.535855,4.163075,4.495083
7:30:35 AM,1.653194,3.535885,4.163099,4.49508
7:30:35 AM,1.653194,3.535885,4.163097,4.495083
7:30:35 AM,1.653244,3.535916,4.163075,4.495063
7:30:35 AM,1.653219,3.535885,4.163075,4.49508
7:30:35 AM,1.653194,3.535916,4.163099,4.495063
7:30:35 AM,1.653219,3.535885,4.163075,4.49508
7:30:35 AM,1.65322,3.535885,4.163052,4.495083
7:30:35 AM,1.653219,3.535855,4.163099,4.495063
7:30:35 AM,1.653219,3.535916,4.163121,4.4951
7:30:35 AM,1.653219,3.535885,4.163075,4.4951
7:30:35 AM,1.653219,3.535885,4.163075,4.49508
7:30:35 AM,1.653194,3.535885,4.163075,4.4951
7:30:35 AM,1.65322,3.535885,4.163075,4.49508
7:30:35 AM,1.65322,3.53589,4.163075,4.495063
7:30:35 AM,1.653219,3.535885,4.163097,4.495083
7:30:35 AM,1.65322,3.535859,4.163075,4.49508
7:30:35 AM,1.653219,3.535916,4.163075,4.495063
7:30:35 AM,1.653194,3.535916,4.163052,4.495063
7:30:35 AM,1.653194,3.535885,4.163097,4.49508
7:30:35 AM,1.653219,3.535885,4.163075,4.49508
7:30:35 AM,1.653194,3.535885,4.163075,4.49508
7:30:35 AM,1.653219,3.535885,4.163075,4.49508
7:30:35 AM,1.653194,3.535859,4.163052,4.4951
7:30:35 AM,1.653219,3.53589,4.163099,4.495063
7:30:35 AM,1.653194,3.535885,4.163075,4.495083
7:30:35 AM,1.653244,3.535859,4.163075,4.4951
7:30:35 AM,1.653244,3.535885,4.163075,4.495083
7:30:35 AM,1.653219,3.535859,4.163075,4.495063
7:30:35 AM,1.653244,3.535885,4.163075,4.4951
7:30:35 AM,1.653244,3.535916,4.163075,4.495063
7:30:35 AM,1.653219,3.535885,4.163075,4.495083
7:30:35 AM,1.653244,3.535885,4.163075,4.495083
7:30:35 AM,1.653194,3.535859,4.163099,4.495063
7:30:35 AM,1.653219,3.535885,4.163075,4.49508
7:30:35 AM,1.653194,3.535859,4.163097,4.4951
7:30:35 AM,1.653244,3.535855,4.163075,4.49508
7:30:35 AM,1.65322,3.535885,4.163075,4.495083
7:30:35 AM,1.653194,3.535859,4.163052,4.4951
7:30:35 AM,1.653194,3.535859,4.163075,4.4951
7:30:35 AM,1.65322,3.535885,4.163099,4.4951
7:30:35 AM,1.653194,3.535916,4.163075,4.49508
7:30:35 AM,1.653219,3.535885,4.163075,4.495083
7:30:35 AM,1.653194,3.535916,4.163075,4.495083
7:30:35 AM,1.653219,3.535885,4.163075,4.49508
7:30:35 AM,1.653219,3.535859,4.163097,4.495063
7:30:35 AM,1.653244,3.535885,4.163075,4.49508
7:30:35 AM,1.653194,3.535885,4.163075,4.4951
7:30:35 AM,1.653194,3.535885,4.163075,4.495063
7:30:35 AM,1.653194,3.535885,4.163075,4.495063
7:30:35 AM,1.653244,3.535859,4.163075,4.49508
7:30:35 AM,1.653194,3.535885,4.163075,4.49508
7:30:35 AM,1.653219,3.535916,4.163075,4.495083
7:30:35 AM,1.65322,3.535885,4.163075,4.495083
7:30:35 AM,1.653219,3.535855,4.163075,4.49508
7:30:35 AM,1.653219,3.535885,4.163075,4.4951
7:30:35 AM,1.65322,3.535855,4.163075,4.49508
7:30:35 AM,1.653194,3.535885,4.163052,4.495083
7:30:35 AM,1.653219,3.535885,4.163075,4.4951
7:30:35 AM,1.653219,3.535859,4.163075,4.495063
7:30:35 AM,1.653219,3.535855,4.163097,4.49508
7:30:35 AM,1.653194,3.535859,4.163075,4.49508
7:30:35 AM,1.653194,3.535859,4.163075,4.495063
7:30:35 AM,1.653219,3.535916,4.163097,4.49508
7:30:35 AM,1.653244,3.535916,4.163075,4.495063
7:30:35 AM,1.653219,3.535859,4.163075,4.495083
7:30:35 AM,1.653219,3.535885,4.163075,4.49508
7:30:35 AM,1.653194,3.535885,4.163075,4.49508
7:30:35 AM,1.653219,3.535885,4.163075,4.4951
7:30:35 AM,1.653194,3.535859,4.163075,4.4951
7:30:35 AM,1.653194,3.535885,4.163075,4.495083
7:30:35 AM,1.653244,3.535885,4.163121,4.49508
7:30:35 AM,1.653219,3.53589,4.163097,4.495063
7:30:35 AM,1.653194,3.535855,4.163075,4.495083
7:30:35 AM,1.653194,3.535859,4.163075,4.495063
7:30:35 AM,1.653194,3.535885,4.163097,4.4951
7:30:35 AM,1.653194,3.535855,4.163075,4.49508
7:30:35 AM,1.653219,3.535885,4.163099,4.495063
7:30:35 AM,1.653244,3.535859,4.163075,4.495083
7:30:35 AM,1.653219,3.535916,4.163097,4.4951
7:30:35 AM,1.653194,3.535855,4.163075,4.49508
7:30:35 AM,1.653194,3.53589,4.163075,4.49508
7:30:35 AM,1.653194,3.535829,4.163121,4.49508
7:30:35 AM,1.653194,3.535859,4.163075,4.4951
7:30:35 AM,1.65322,3.535859,4.163075,4.495083
7:30:35 AM,1.653244,3.535885,4.163121,4.495083
7:30:35 AM,1.653244,3.535859,4.163075,4.49508
7:30:35 AM,1.653194,3.535885,4.163075,4.49508
7:30:35 AM,1.653194,3.535885,4.163052,4.495063
7:30:35 AM,1.653219,3.535885,4.163075,4.495083
7:30:35 AM,1.653219,3.535859,4.163075,4.49508
7:30:35 AM,1.653244,3.53589,4.163075,4.495083
7:30:35 AM,1.65322,3.535859,4.163075,4.495063
7:30:35 AM,1.65322,3.535885,4.163075,4.4951
7:30:35 AM,1.653219,3.535859,4.163075,4.495063
7:30:35 AM,1.653244,3.53589,4.163073,4.495063
7:30:35 AM,1.653219,3.535859,4.163075,4.495063
7:30:35 AM,1.653244,3.53589,4.163073,4.495063
7:30:35 AM,1.653244,3.53589,4.163095,4.495063
7:30:36 AM,1.653244,3.53589,4.163073,4.495063
7:30:36 AM,1.653244,3.53589,4.163073,4.495063
7:30:36 AM,1.653244,3.53589,4.163073,4.495063
7:30:36 AM,1.653244,3.53589,4.163073,4.495063
